time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
27/06/2023;0,002045513;0,023572551;-0,0015195;-0,002560819;;;;;;;;;;;;;
28/06/2023;-0,002041337;0,031218014;0,001521813;0,00449294;;;;;;;;;;;;;
29/06/2023;0;-0,030272953;0,018402836;-0,017891374;;;;;;;;;;;;;
30/06/2023;-0,018665303;0,01381781;-0,012599469;0,007156799;;;;;;;;;;;;;
03/07/2023;0,009119333;0,002019182;-0,004197448;0;;;;;;;;;;;;;
04/07/2023;0,001807384;0,002015113;-0,001348845;-0,002583979;;;;;;;;;;;;;
05/07/2023;-0,003865979;0,026646556;-0,011480669;-0,002590674;;;;;;;;;;;;;
06/07/2023;0,030012937;0,001469148;0,010076857;-0,011038961;;;;;;;;;;;;;
07/07/2023;-0,009796534;0,016625917;0,00574907;0;;;;;;;;;;;;;
10/07/2023;0,029426687;0,009139009;0,016812374;0,01116218;;;;;;;;;;;;;
11/07/2023;-0,01158206;-0,014299333;0,009755291;0,002597403;;;;;;;;;;;;;
12/07/2023;0,005983545;-0,011121857;0,009661045;-0,007124352;;;;;;;;;;;;;
13/07/2023;-0,019330855;0,00195599;-0,00551411;0,007175473;;;;;;;;;;;;;
14/07/2023;0,002021734;0,01659346;0,002772342;0;;;;;;;;;;;;;
17/07/2023;0,009836066;-0,007201152;-0,013660758;0;;;;;;;;;;;;;
18/07/2023;0,005744256;-0,003384913;0,001483924;0;;;;;;;;;;;;;
19/07/2023;0,013409486;0,00727802;0,002634178;0;;;;;;;;;;;;;
20/07/2023;0,032099975;0,028901734;0;0;;;;;;;;;;;;;
21/07/2023;-0,029202279;0,007022472;0,012479475;0,004533679;;;;;;;;;;;;;
24/07/2023;0,01883101;-0,005113901;0,001297438;-0,001934236;;;;;;;;;;;;;
25/07/2023;0;0;0,012309686;0,010981912;;;;;;;;;;;;;
26/07/2023;-0,011281805;0,005140187;0,00672;0;;;;;;;;;;;;;
27/07/2023;-0,024277737;0;0,009218055;-0,006389776;;;;;;;;;;;;;
28/07/2023;0,013436178;-0,0032543;0,022519685;0,00192926;;;;;;;;;;;;;
31/07/2023;-0,003682789;-0,003731343;0,007700601;0,034017972;;;;;;;;;;;;;
01/08/2023;-0,038196156;-0,024812734;-0,02552346;-0,004345127;;;;;;;;;;;;;
02/08/2023;0,002049705;0;0,001254705;0,010598504;;;;;;;;;;;;;
03/08/2023;-0,005880849;-0,023523764;-0,014254386;0,015422579;;;;;;;;;;;;;
